width (mm),length (mm),freq (Hz),Impedance Magnitude (Ohms),Capacitance (F),Impedance Phase (rad)
1,10,1122.018454301964,34360.43592613812,4.128210302987056E-9,-1.5695325952424484
1,10,1258.9254117941675,30491.184536080957,4.146160901874542E-9,-1.5695887167596971
1,10,1412.5375446227554,27011.6222510616,4.17128407073786E-9,-1.569615185605977
1,10,1584.893192461114,23865.709965945272,4.207712741343769E-9,-1.5696017468571115
1,10,1778.2794100389228,20992.60501218851,4.263381024513466E-9,-1.5695256377702624
1,10,1995.262314968881,18313.244268043927,4.35567342444E-9,-1.5693302246819434
1,10,2238.72113856834,15688.251929267548,4.531546161166111E-9,-1.5688394650347033
1,10,2511.886431509582,12730.099559186434,4.977269162290981E-9,-1.567208116293433
1,10,2818.382931264455,7038.814897631205,8.024541302568475E-9,-1.5493772627837654
1,10,3162.2776601683795,29254.58263957428,1.7206398108232707E-9,-1.5536636514652855
1,10,3548.1338923357566,14771.199658925894,3.0367184041717933E-9,-1.569942451811173
1,10,3981.0717055349733,11908.420086592378,3.357113232806689E-9,-1.5706465357911241
1,10,4466.835921509635,10180.890118535246,3.4997287213714948E-9,-1.5707661545016756
1,10,5011.872336272725,8871.16633545788,3.5796404687579834E-9,-1.5707922726727874
1,10,5623.413251903491,7795.230337208067,3.6307068048434456E-9,-1.5707963235223898
1,10,6309.573444801937,6879.240230008761,3.666736113576623E-9,-1.570794253608993
1,10,7079.457843841381,6084.484512091912,3.6948459986574547E-9,-1.5707900983760577
1,10,7943.282347242822,5386.241421129161,3.7199261343839223E-9,-1.570784273693303
1,10,8912.509381337459,4765.18824714666,3.747486437524811E-9,-1.570774673939088
1,10,10000,4199.2143239188845,3.790112410939705E-9,-1.5707513592326818
1,10,11220.18454301963,3619.5234624829263,3.9189411550428955E-9,-1.5706182768085473
1,10,12589.254117941688,4199.676619237495,3.0102660727376554E-9,-1.5691303509129524
1,10,14125.375446227554,3146.1072855818147,3.581348658601414E-9,-1.5707682087381425
1,10,15848.93192461114,2754.4964779117786,3.645674665399339E-9,-1.5707935459071471
1,10,17782.794100389227,2436.241364779161,3.6736672688834313E-9,-1.5707963267711311
1,10,19952.62314968879,2160.1652073386035,3.692607647575824E-9,-1.5707945604741929
1,10,22387.211385683422,1915.4320858586202,3.7115334037072988E-9,-1.5707869876117506
1,10,25118.864315095823,1692.5174572275623,3.743578766094541E-9,-1.5707502372147986
1,10,28183.82931264455,1440.0057833825215,3.92153485958999E-9,-1.569874298263705
1,10,31622.776601683792,1414.4699856971533,3.558167923159527E-9,-1.5703413440355884
1,10,35481.33892335753,1231.9329110091771,3.6411039428465766E-9,-1.570682160810509
1,10,39810.71705534977,1090.5909405659452,3.665711469025784E-9,-1.5704100556195204
1,10,44668.359215096345,969.4680588958076,3.6752478037867917E-9,-1.57078512385001
2,5,1,3.9291959559963256E7,4.050572821663238E-9,-1.570724409461839
2,5,1.1220184543019633,3.5018997042491294E7,4.050572682848776E-9,-1.570715634294385
2,5,1.2589254117941673,3.1210715337587938E7,4.050572508337418E-9,-1.5707057884252784
2,5,1.4125375446227544,2.7816580862929314E7,4.050572288606983E-9,-1.57069474122166
2,5,1.5848931924611136,2.479155551823957E7,4.050572011610394E-9,-1.5706823461168629
2,5,1.7782794100389228,2.2095499050263558E7,4.0505716633597164E-9,-1.570668438666622
2,5,1.9952623149688797,1.9692636425261278E7,4.050571225963871E-9,-1.5706528343720862
2,5,2.23872113856834,1.7551083126354374E7,4.05057067409775E-9,-1.5706353262388626
2,5,2.51188643150958,1.5642422037953977E7,4.050569979124233E-9,-1.5706156820341979
2,5,2.8183829312644537,1.39413263819232E7,4.050569105452862E-9,-1.5705936412165884
2,5,3.1622776601683795,1.2425223660363637E7,4.050568004380702E-9,-1.5705689114996506
2,5,3.548133892335755,1.1073996106647806E7,4.050566618581317E-9,-1.5705411649870757
2,5,3.981071705534973,9869713.7551693,4.050564873115027E-9,-1.5705100338584674
2,5,4.466835921509632,8796396.50670957,4.0505626766363355E-9,-1.5704751055260369
2,5,5.011872336272724,7839802.094546578,4.050559911935008E-9,-1.5704359172260893
2,5,5.623413251903491,6987237.094152421,4.050556430710765E-9,-1.5703919499634829
2,5,6.309573444801933,6227388.483101615,4.050552049214766E-9,-1.5703426217399676
2,5,7.07945784384138,5550173.534457047,4.0505465326725295E-9,-1.5702872800156806
2,5,7.943282347242816,4946606.016193329,4.050539588030224E-9,-1.5702251932785236
2,5,8.912509381337456,4408676.952382704,4.050530847080527E-9,-1.5701555416824287
2,5,10,3929248.352101063,4.050519843982647E-9,-1.570077406660967
2,5,11.220184543019636,3501958.4881533394,4.050505994245357E-9,-1.5699897594061503
2,5,12.589254117941675,3121137.4825132634,4.050488562562383E-9,-1.5698914481842035
2,5,14.125375446227547,2781732.071346192,4.0504666226497716E-9,-1.5697811844098568
2,5,15.848931924611142,2479238.5491810963,4.050439010916801E-9,-1.5696575274575881
2,5,17.78279410038923,2209643.0081388243,4.05040426468617E-9,-1.5695188682295753
2,5,19.952623149688797,1969368.0763009,4.050360544397162E-9,-1.569363411629805
2,5,22.3872113856834,1755225.4464341744,4.0503055404238124E-9,-1.5691891580605553
2,5,25.11886431509581,1564373.56945213,4.0502363523923485E-9,-1.5689938844361155
2,5,28.18382931264455,1394279.9479302026,4.050149340780031E-9,-1.5687751252681907
2,5,31.622776601683793,1242687.5297540529,4.0500399443498256E-9,-1.568530154785108
2,5,35.48133892335755,1107584.7576558138,4.049902450427297E-9,-1.5682559716249085
2,5,39.810717055349734,987178.8742026481,4.0497297171129124E-9,-1.5679492880997545
2,5,44.668359215096324,879872.1306764483,4.049512828682861E-9,-1.5676065272883122
2,5,50.11872336272725,784240.5814357505,4.049240681471179E-9,-1.567223832124234
2,5,56.23413251903491,699015.1833438798,4.04889948564829E-9,-1.5667970925734267
2,5,63.09573444801933,623064.949984522,4.0484721663262516E-9,-1.5663219993288053
2,5,70.79457843841381,555381.9280841417,4.047937712949325E-9,-1.5657941342020696
2,5,79.43282347242817,495067.8146167054,4.047270369359322E-9,-1.5652091129964627
2,5,89.12509381337459,441322.0131150876,4.0464388229491E-9,-1.56456279722335
2,5,100,393430.98546736967,4.045405344545498E-9,-1.5638515975311376
2,5,112.20184543019641,350758.74901326676,4.044125015614214E-9,-1.56307289241355
2,5,125.89254117941675,312738.3935861297,4.042545176069788E-9,-1.5622255867628305
2,5,141.2537544622754,278864.5051336763,4.040605312012286E-9,-1.5613108284966652
2,5,158.48931924611142,248686.39535285902,4.0382376982025034E-9,-1.5603328866441024
2,5,177.82794100389228,221802.05081435436,4.0353691863998434E-9,-1.5593001641046
2,5,199.52623149688807,197852.72455764358,4.031924657255934E-9,-1.5582262663321353
2,5,223.872113856834,176518.11582675454,4.027832485254577E-9,-1.5571309805164295
2,5,251.18864315095823,157512.08657436646,4.02303236430049E-9,-1.556040927169366
